alias,category,city,id,latitude,longitude,price,rating,review_count,zip_code
lucilles-smokehouse-bar-b-que-brea,"['bbq', 'smokehouse', 'southern']",Brea,zzvkb4J_sQAk8N20OWdZhg,33.91115379,-117.88125919999999,2,3.5,1257.0,92821
gen-korean-bbq-house-northridge-2,"['korean', 'bbq', 'asianfusion']",Northridge,zzcBtsGd7uFQ7AwIu_GcQQ,34.255146,-118.5373725,2,4.5,3533.0,91324
mariscos-camarena-estilo-nayarit-san-fernando,"['seafood', 'bars']",San Fernando,zzLBuLz4ORQF0V_QwgHtBA,34.299215000000004,-118.438575,2,2.5,91.0,91340
sub-king-signal-hill,"['sandwiches', 'breakfast_brunch']",Signal Hill,zzJJxXDkai8rR2tBX0Ggrw,33.8046249,-118.16530949999999,1,4.5,76.0,90755
bardonna-los-angeles-3,"['coffee', 'breakfast_brunch', 'cafes']",Los Angeles,zz0zctGWZ4vkxyx00LOIKw,34.0740599528756,-118.32381894500901,2,3.5,174.0,90004.0
chipotle-mexican-grill-commerce,"['hotdogs', 'mexican']",Commerce,zyoVtQ_JM95xKZuoO29cPA,34.005808,-118.15295400000001,1,3.5,24.0,90040
the-crab-shack-gardena,"['cajun', 'seafood', 'soup']",Gardena,zyONCPCYQKxcLrKxkru_kg,33.88984,-118.308558,2,4.0,1105.0,90249
wingstop-pacoima,['chicken_wings'],Pacoima,zyNfJM8HGoZWXb0cvkAIoA,34.2745182,-118.41078970000001,2,2.5,124.0,91331
jack-in-the-box-downey-8,"['hotdogs', 'breakfast_brunch', 'burgers']",Downey,zyBEeD19vLxOFXVNDBypUw,33.93081372,-118.1134343,1,1.5,12.0,90241
el-primo-taco-truck-reseda,"['foodtrucks', 'tacos']",Reseda,zxq4zzNzlhIlqa3TnGYeiw,34.1979,-118.53562,1,4.0,38.0,91335
lee-esthers-creole-and-cajun-cooking-palmdale,"['cajun', 'soulfood']",Palmdale,zxc8ayqGfJouHTCaYH-K8g,34.58185,-118.11465700000001,2,4.5,720.0,93550
7-eleven-palmdale-2,"['convenience', 'coffee']",Palmdale,zx1nLDGsPE99y6lW7DsHxQ,34.579570700000005,-118.09477720000001,1,2.5,3.0,93550
nha-trang-kitchen-san-gabriel-2,['vietnamese'],San Gabriel,zwojICI4Vlo3dpHFrceIAw,34.10417938,-118.09059909999999,1,4.0,262.0,91775
tacos-la-potranka-watts-2,"['mexican', 'foodtrucks']",Watts,zwgvcSuBAA-hRzT_f_BBQw,33.92981529,-118.2278312,1,3.5,12.0,90059
found-coffee-los-angeles-5,['coffee'],Los Angeles,zwO_IPN8eOQ72TYR5cFohA,34.13987437,-118.1945446,2,4.0,364.0,90041
cafe-vida-el-segundo-el-segundo,"['breakfast_brunch', 'cafes', 'sandwiches']",El Segundo,zwKmlCWDu1b2h5Ovokw_Jw,33.90435205,-118.3842982,2,4.0,65.0,90245
flux-bar-bellflower,"['gaybars', 'danceclubs']",Bellflower,zwF7R53B3xjfWhHWpcX41Q,33.87048,-118.14286000000001,1,4.0,149.0,90706
jeje-chicken-granada-hills-7,"['mediterranean', 'halal', 'kebab']",Granada Hills,zw7drID-xY0MldixZlpgoQ,34.27158451,-118.50136640000001,2,4.5,730.0,91344
archibalds-drive-thru-long-beach-11,"['mexican', 'breakfast_brunch', 'tradamerican']",Long Beach,zvkdo2uDcOp2c6BhcLzNBg,33.7619453,-118.1393683,1,3.5,234.0,90803
melody-pizza-los-angeles-3,"['pizza', 'italian', 'chicken_wings']",Los Angeles,zvhjFEPAJQ2PJPP4n_AJag,33.953585700000005,-118.3959951,2,4.0,318.0,90045
hully-gully-downey,"['danceclubs', 'bars', 'musicvenues']",Downey,zvg25C2q_UvA8Bs5lp9vLQ,33.9171549,-118.12345,1,3.0,200.0,90242
sbarro-los-angeles-11,['italian'],Los Angeles,zvSzPXGbBYhlcMCErj8w6Q,34.010455,-118.335718,1,2.5,10.0,90008
lan-noodle-arcadia-7,"['chinese', 'noodles']",Arcadia,zvJJyeksI-pwh75_mEHmfg,34.140785,-118.02172,2,4.0,74.0,91006
kfc-reseda-2,"['chicken_wings', 'hotdogs', 'chickenshop']",Reseda,zugTkf_5QO5d7nTb6LAo9g,34.19619974,-118.53568359999998,1,2.0,45.0,91335
dia-de-campo-hermosa-beach,"['seafood', 'mexican', 'cocktailbars']",Hermosa Beach,zuVyMDTeY4adPQpsjZ59Tw,33.86288581,-118.4000119,2,4.0,571.0,90254
taco-nazo-azusa,"['seafood', 'tacos']",Azusa,zuOXdg2GkTdKAY4ugckf2Q,34.123857,-117.907835,1,4.0,395.0,91702
tai-kadai-kitchen-rosemead-2,"['chinese', 'vietnamese', 'thai']",Rosemead,zuNKRZWdvyKkegtKYiejIg,34.0810146,-118.07566090000002,2,4.0,497.0,91770
karas-korner-deli-glendora,['delis'],Glendora,zuF8tzNnam_9vM_-nQgmHA,34.1361549,-117.86566,1,4.0,235.0,91741
lemonade-beverly-west-hollywood,['newamerican'],West Hollywood,zuBq79Fr1WnWDyXfDxHc5A,34.0774597,-118.3879047,2,4.0,965.0,90048
copenhagen-pastry-culver-city,['bakeries'],Culver City,zuAtE6gNT5dfitDBI5XQ1Q,34.00932,-118.41207,1,5.0,938.0,90232
gold-room-los-angeles,"['cocktailbars', 'sportsbars', 'beerbar']",Los Angeles,ztwtTL6Ka1hPGvQHWsn2Eg,34.0764393,-118.25696780000001,1,3.5,655.0,90026.0
gorditas-durango-los-angeles-2,['mexican'],Los Angeles,ztuDx_mRF_MsrQ9vAGKIxw,34.221514899999995,-118.45201609999998,1,3.0,26.0,91402
